model,fpr,tpr
Logistic Regression,0.0049650148567046875,0.01098558628749513
Logistic Regression,0.004977794817725806,0.011063498246980911
Logistic Regression,0.005022524681299722,0.011141410206466692
Logistic Regression,0.005028914661810282,0.011141410206466692
Logistic Regression,0.005054474583852519,0.011141410206466692
Logistic Regression,0.005054474583852519,0.011219322165952474
Logistic Regression,0.0050736445253841975,0.011258278145695364
Logistic Regression,0.005086424486405316,0.011258278145695364
Logistic Regression,0.005124764369468673,0.011336190105181145
Logistic Regression,0.005137544330489792,0.011453058044409816
Logistic Regression,0.00516310425253203,0.011492014024152708
Logistic Regression,0.005169494233042589,0.011492014024152708
Logistic Regression,0.005195054155084827,0.011569925983638488
Logistic Regression,0.0052206140771270644,0.01160888196338138
Logistic Regression,0.005227004057637624,0.01160888196338138
Logistic Regression,0.005246173999169303,0.011647837943124269
Logistic Regression,0.0052525639796798616,0.01168679392286716
Logistic Regression,0.00527173392121154,0.011764705882352941
Logistic Regression,0.0052845138822326596,0.011764705882352941
Logistic Regression,0.0052909038627432185,0.011803661862095832
Logistic Regression,0.005316463784785457,0.011842617841838722
Logistic Regression,0.005329243745806575,0.011959485781067394
Logistic Regression,0.005342023706827694,0.011998441760810285
Logistic Regression,0.005367583628869932,0.012037397740553174
Logistic Regression,0.005386753570401611,0.012076353720296066
Logistic Regression,0.005386753570401611,0.012115309700038957
Logistic Regression,0.005399533531422729,0.012154265679781846
Logistic Regression,0.005405923511933288,0.012193221659524738
Logistic Regression,0.005412313492443848,0.012193221659524738
Logistic Regression,0.005450653375507205,0.012232177639267627
Logistic Regression,0.005476213297549442,0.012232177639267627
Logistic Regression,0.005495383239081121,0.012271133619010518
Logistic Regression,0.005508163200102239,0.012349045578496299
Logistic Regression,0.005533723122144478,0.01242695753798208
Logistic Regression,0.005546503083165596,0.012543825477210752
Logistic Regression,0.005552893063676156,0.012738605375925204
Logistic Regression,0.005591232946739512,0.012972341254382548
Logistic Regression,0.00561679286878175,0.013011297234125438
Logistic Regression,0.005629572829802869,0.013011297234125438
Logistic Regression,0.005667912712866226,0.013050253213868329
Logistic Regression,0.005674302693376785,0.01308920919361122
Logistic Regression,0.005699862615419023,0.01320607713283989
Logistic Regression,0.005706252595929583,0.01320607713283989
Logistic Regression,0.0057190325569507015,0.013245033112582781
Logistic Regression,0.005757372440014058,0.013283989092325673
Logistic Regression,0.005808492284098534,0.013322945072068562
Logistic Regression,0.005834052206140771,0.013439813011297234
Logistic Regression,0.00585322214767245,0.013478768991040125
Logistic Regression,0.005904341991756925,0.013556680950525906
Logistic Regression,0.005936291894309722,0.013634592910011687
Logistic Regression,0.005949071855330841,0.013673548889754578
Logistic Regression,0.00596185181635196,0.013673548889754578
Logistic Regression,0.005974631777373079,0.013673548889754578
Logistic Regression,0.005993801718904758,0.013673548889754578
Logistic Regression,0.0060385315824786736,0.013712504869497467
Logistic Regression,0.0060449215629892325,0.013712504869497467
Logistic Regression,0.006070481485031471,0.013712504869497467
Logistic Regression,0.006096041407073708,0.013751460849240359
Logistic Regression,0.006102431387584268,0.013751460849240359
Logistic Regression,0.006127991309626506,0.013751460849240359
Logistic Regression,0.006127991309626506,0.013790416828983248
Logistic Regression,0.006147161251158184,0.013790416828983248
Logistic Regression,0.006172721173200422,0.0139851967276977
Logistic Regression,0.0061918911147321,0.0139851967276977
Logistic Regression,0.006223841017284897,0.0139851967276977
Logistic Regression,0.006223841017284897,0.014024152707440592
Logistic Regression,0.006249400939327135,0.014179976626412153
Logistic Regression,0.006281350841879932,0.014257888585897936
Logistic Regression,0.0063260807054538485,0.014296844565640825
Logistic Regression,0.006370810569027764,0.014413712504869497
Logistic Regression,0.006377200549538324,0.01453058044409817
Logistic Regression,0.0064027604715805615,0.01460849240358395
Logistic Regression,0.006434710374133359,0.01460849240358395
Logistic Regression,0.006447490335154478,0.01460849240358395
Logistic Regression,0.006460270296175597,0.014647448383326841
Logistic Regression,0.006485830218217834,0.014647448383326841
Logistic Regression,0.006498610179238954,0.014647448383326841
Logistic Regression,0.006511390140260072,0.01468640436306973
Logistic Regression,0.006524170101281191,0.014881184261784183
Logistic Regression,0.006549730023323429,0.014959096221269966
Logistic Regression,0.006556120003833988,0.014959096221269966
Logistic Regression,0.006581679925876226,0.014998052201012855
Logistic Regression,0.006594459886897345,0.014998052201012855
Logistic Regression,0.006600849867407905,0.015037008180755746
Logistic Regression,0.006600849867407905,0.015075964160498636
Logistic Regression,0.006632799769960702,0.015192832099727308
Logistic Regression,0.006639189750471261,0.015192832099727308
Logistic Regression,0.006696699575066296,0.015231788079470199
Logistic Regression,0.006709479536087415,0.015270744059213089
Logistic Regression,0.006709479536087415,0.01530970003895598
Logistic Regression,0.006715869516597975,0.01530970003895598
Logistic Regression,0.006735039458129653,0.01530970003895598
