model,fpr,tpr
Logistic Regression,0.03290839015713015,0.14103714336981876
Logistic Regression,0.032939597734329897,0.14103714336981876
Logistic Regression,0.033002012888729386,0.14103714336981876
Logistic Regression,0.03311123940892849,0.14103714336981876
Logistic Regression,0.03312684319752836,0.14103714336981876
Logistic Regression,0.03312684319752836,0.14121657993899156
Logistic Regression,0.03318925835192785,0.14139601650816436
Logistic Regression,0.03320486214052772,0.14139601650816436
Logistic Regression,0.03323606971772746,0.14139601650816436
Logistic Regression,0.03325167350632734,0.14157545307733715
Logistic Regression,0.0344999765943171,0.14947066212094023
Logistic Regression,0.03454678796011672,0.14947066212094023
Logistic Regression,0.0347808447891148,0.15054728153597705
Logistic Regression,0.03482765615491441,0.15054728153597705
Logistic Regression,0.03509292056111224,0.1527005203660506
Logistic Regression,0.03510852434971211,0.1528799569352234
Logistic Regression,0.03510852434971211,0.1530593935043962
Logistic Regression,0.03513973192691185,0.1530593935043962
Logistic Regression,0.0351709395041116,0.1530593935043962
Logistic Regression,0.035436203910309425,0.153238830073569
Logistic Regression,0.03545180769890929,0.153238830073569
Logistic Regression,0.03545180769890929,0.1534182666427418
Logistic Regression,0.035561034219108396,0.1537771397810874
Logistic Regression,0.035561034219108396,0.1539565763502602
Logistic Regression,0.03560784558490802,0.154136012919433
Logistic Regression,0.03732426233089394,0.15772474430288894
Logistic Regression,0.03732426233089394,0.15790418087206173
Logistic Regression,0.037417885062493175,0.15790418087206173
Logistic Regression,0.03754271537129215,0.15880136371792572
Logistic Regression,0.03760513052569164,0.1593396734254441
Logistic Regression,0.03765194189149126,0.1593396734254441
Logistic Regression,0.03771435704589074,0.1595191099946169
Logistic Regression,0.037807979777489974,0.1596985465637897
Logistic Regression,0.03791720629768908,0.1598779831329625
Logistic Regression,0.0379640176634887,0.1598779831329625
Logistic Regression,0.038057640395087924,0.1602368562713081
Logistic Regression,0.03808884797228767,0.1602368562713081
Logistic Regression,0.038120055549487414,0.1602368562713081
Logistic Regression,0.038120055549487414,0.1605957294096537
Logistic Regression,0.03957120788927552,0.16328727794724565
Logistic Regression,0.039711641986674366,0.16346671451641845
Logistic Regression,0.03974284956387411,0.16346671451641845
Logistic Regression,0.03975845335247398,0.16346671451641845
Logistic Regression,0.040023717758671806,0.16364615108559125
Logistic Regression,0.040039321547271675,0.16382558765476404
Logistic Regression,0.040086132913071296,0.16418446079310964
Logistic Regression,0.040101736701671165,0.16418446079310964
Logistic Regression,0.041521681464259524,0.16992643100663915
Logistic Regression,0.041521681464259524,0.17010586757581195
Logistic Regression,0.04156849283005914,0.17010586757581195
Logistic Regression,0.04163090798445863,0.17010586757581195
Logistic Regression,0.041646511773058496,0.17010586757581195
Logistic Regression,0.041755738293257606,0.17064417728333034
Logistic Regression,0.041786945870457344,0.17082361385250314
Logistic Regression,0.04180254965905722,0.17082361385250314
Logistic Regression,0.04191177617925632,0.17082361385250314
Logistic Regression,0.042083417853854915,0.17118248699084873
Logistic Regression,0.04209902164245479,0.17118248699084873
Logistic Regression,0.04209902164245479,0.17136192356002153
Logistic Regression,0.04356577777084276,0.17602727435851426
Logistic Regression,0.043581381559442633,0.17620671092768705
Logistic Regression,0.04392466490863982,0.17710389377355104
Logistic Regression,0.04536021345982805,0.18248699084873496
Logistic Regression,0.04540702482562766,0.18248699084873496
Logistic Regression,0.045438232402827405,0.18248699084873496
Logistic Regression,0.04567228923182549,0.18302530055625335
Logistic Regression,0.04595315742662318,0.18374304683294457
Logistic Regression,0.046124799101221775,0.18410191997129016
Logistic Regression,0.04615600667842152,0.18410191997129016
Logistic Regression,0.046171610467021396,0.18410191997129016
Logistic Regression,0.046187214255621264,0.18428135654046296
Logistic Regression,0.04620281804422114,0.18428135654046296
Logistic Regression,0.04623402562142088,0.18428135654046296
Logistic Regression,0.04626523319862062,0.18446079310963576
Logistic Regression,0.04631204456442024,0.18464022967880855
Logistic Regression,0.04632764835302011,0.18464022967880855
Logistic Regression,0.046421271084619346,0.18464022967880855
Logistic Regression,0.04646808245041896,0.18464022967880855
Logistic Regression,0.046499290027618705,0.18464022967880855
Logistic Regression,0.04651489381621858,0.18464022967880855
Logistic Regression,0.046546101393418325,0.18481966624798135
Logistic Regression,0.046561705182018194,0.18517853938632695
Logistic Regression,0.04668653549081717,0.18517853938632695
Logistic Regression,0.04682696958821602,0.18607572223219093
Logistic Regression,0.04684257337681589,0.18607572223219093
Logistic Regression,0.04690498853121538,0.18625515880136373
Logistic Regression,0.04692059231981525,0.18643459537053653
Logistic Regression,0.04698300747421474,0.18643459537053653
Logistic Regression,0.04704542262861423,0.18697290507805492
Logistic Regression,0.04704542262861423,0.18715234164722772
Logistic Regression,0.04735749840061167,0.1875112147855733
Logistic Regression,0.04735749840061167,0.1876906513547461
