model_name,fpr,tpr
Logistic Regression,0.008553271869480754,0.013629758565223134
Logistic Regression,0.008558387462704127,0.013645299909083138
Logistic Regression,0.008567339750845032,0.013660841252943142
Logistic Regression,0.008572455344068405,0.013676382596803146
Logistic Regression,0.008576292038985935,0.01369192394066315
Logistic Regression,0.008582686530515153,0.013707465284523154
Logistic Regression,0.00858908102204437,0.013730777300313158
Logistic Regression,0.00859675441187943,0.013746318644173161
Logistic Regression,0.008601870005102805,0.013769630659963167
Logistic Regression,0.008604427801714491,0.013777401331893169
Logistic Regression,0.008604427801714491,0.013785172003823171
Logistic Regression,0.008605706700020335,0.013792942675753173
Logistic Regression,0.008615937886467083,0.013792942675753173
Logistic Regression,0.008623611276302142,0.013808484019613177
Logistic Regression,0.008632563564443045,0.013824025363473179
Logistic Regression,0.00863767915766642,0.01383179603540318
Logistic Regression,0.00864535254750148,0.013847337379263185
Logistic Regression,0.008647910344113167,0.013862878723123188
Logistic Regression,0.008655583733948228,0.01387064939505319
Logistic Regression,0.008661978225477445,0.01387064939505319
Logistic Regression,0.008672209411924193,0.01387064939505319
Logistic Regression,0.008684998394982626,0.013893961410843196
Logistic Regression,0.008688835089900156,0.013917273426633202
Logistic Regression,0.008696508479735217,0.013932814770493204
Logistic Regression,0.008702902971264434,0.013932814770493204
Logistic Regression,0.008713134157711182,0.013940585442423206
Logistic Regression,0.008719528649240398,0.01395612678628321
Logistic Regression,0.008724644242463771,0.013971668130143214
Logistic Regression,0.008728480937381303,0.013987209474003217
Logistic Regression,0.008733596530604676,0.014002750817863221
Logistic Regression,0.00873871212382805,0.014010521489793223
Logistic Regression,0.008741269920439736,0.014010521489793223
Logistic Regression,0.008752780005192327,0.014018292161723225
Logistic Regression,0.008760453395027387,0.014026062833653225
Logistic Regression,0.008768126784862449,0.014049374849443231
Logistic Regression,0.008779636869615038,0.014049374849443231
Logistic Regression,0.008784752462838413,0.014064916193303235
Logistic Regression,0.0087873102594501,0.014064916193303235
Logistic Regression,0.008800099242508533,0.014080457537163239
Logistic Regression,0.008801378140814376,0.01408822820909324
Logistic Regression,0.008810330428955281,0.014095998881023242
Logistic Regression,0.008820561615402027,0.014111540224883246
Logistic Regression,0.008834629496766305,0.014111540224883246
Logistic Regression,0.008838466191683835,0.014119310896813248
Logistic Regression,0.008846139581518897,0.014119310896813248
Logistic Regression,0.00884741847982474,0.01412708156874325
Logistic Regression,0.008849976276436427,0.014158164256463256
Logistic Regression,0.008858928564577331,0.014165934928393258
Logistic Regression,0.008866601954412391,0.014165934928393258
Logistic Regression,0.008876833140859137,0.014165934928393258
Logistic Regression,0.008881948734082512,0.014181476272253262
Logistic Regression,0.008883227632388356,0.014181476272253262
Logistic Regression,0.008893458818835102,0.014197017616113266
Logistic Regression,0.008898574412058477,0.01421255895997327
Logistic Regression,0.008902411106976007,0.014220329631903271
Logistic Regression,0.008906247801893537,0.014220329631903271
Logistic Regression,0.008916478988340285,0.014235870975763273
Logistic Regression,0.008922873479869501,0.01425918299155328
Logistic Regression,0.008927989073092875,0.014266953663483281
Logistic Regression,0.008934383564622093,0.014282495007343285
Logistic Regression,0.008942056954457153,0.014290265679273287
Logistic Regression,0.008952288140903899,0.014298036351203289
Logistic Regression,0.008957403734127274,0.014313577695063293
Logistic Regression,0.008965077123962334,0.014321348366993294
Logistic Regression,0.00896763492057402,0.014321348366993294
Logistic Regression,0.008979145005326612,0.014329119038923296
Logistic Regression,0.008989376191773358,0.014336889710853298
Logistic Regression,0.008994491784996733,0.014336889710853298
Logistic Regression,0.00900088627652595,0.014344660382783299
Logistic Regression,0.009009838564666854,0.014360201726643302
Logistic Regression,0.009014954157890227,0.014375743070503306
Logistic Regression,0.009021348649419444,0.014383513742433308
Logistic Regression,0.009026464242642817,0.01439128441436331
Logistic Regression,0.009036695429089565,0.014399055086293312
Logistic Regression,0.009045647717230468,0.014414596430153316
Logistic Regression,0.00906099449690059,0.014414596430153316
Logistic Regression,0.009064831191818121,0.014422367102083318
Logistic Regression,0.00907250458165318,0.014437908445943321
Logistic Regression,0.009085293564711616,0.014437908445943321
Logistic Regression,0.009091688056240832,0.014437908445943321
Logistic Regression,0.009092966954546675,0.014437908445943321
Logistic Regression,0.009100640344381735,0.014437908445943321
Logistic Regression,0.00910575593760511,0.014453449789803324
Logistic Regression,0.009110871530828483,0.014453449789803324
Logistic Regression,0.009115987124051856,0.014461220461733326
Logistic Regression,0.009122381615581075,0.014484532477523331
Logistic Regression,0.009131333903721978,0.014500073821383335
Logistic Regression,0.009141565090168726,0.014500073821383335
Logistic Regression,0.009145401785086256,0.014507844493313337
Logistic Regression,0.009153075174921315,0.01452338583717334
Logistic Regression,0.00915819076814469,0.014538927181033345
Logistic Regression,0.009167143056285593,0.014546697852963347
