_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS,MUNICIPALITY_NAME,CENTRELINE_ID,OBJECTID,ID,STATION,YEAR_BUILD,WARD,WARD_NAME,TYPE_DESC,PUBLIC_ED_OFFICE,FIRE_PREV_OFFICE,FIRE_OTHER,geometry
56,14076681,30,Knox Ave,30 Knox Ave,former Toronto,30021411,4501108,20,326,1980,14,Toronto-Danforth,Fire Station, , ,Fire Control Tower Building,"{""coordinates"": [[-79.32500729161569, 43.66153875942057]], ""type"": ""MultiPoint""}"
57,792196,83,Deforest Rd,83 Deforest Rd,former Toronto,1146026,4520761,19,425,1964,4,Parkdale-High Park,Fire Station, , , ,"{""coordinates"": [[-79.47805882881508, 43.647987023873846]], ""type"": ""MultiPoint""}"
58,7027887,590,Jane St,590 Jane St,York,20004277,4528054,48,422,1965,4,Parkdale-High Park,Fire Station, , , ,"{""coordinates"": [[-79.49095392555208, 43.66435015134867]], ""type"": ""MultiPoint""}"
59,13497616,90,Quebec St,90 Quebec St,former Toronto,30131680,4531087,69,346,1912,10,Spadina-Fort York,Fire Station, ,None, ,"{""coordinates"": [[-79.42132972699531, 43.63367698401231]], ""type"": ""MultiPoint""}"
60,6294642,87,Main St,87 Main St,former Toronto,1140025,4553689,8,226,1910,19,Beaches-East York,Fire Station, , , ,"{""coordinates"": [[-79.29906526593534, 43.68192334099236]], ""type"": ""MultiPoint""}"
61,354673,5318,Lawrence Ave E,5318 Lawrence Ave E,Scarborough,107237,4597878,78,215,1974,25,Scarborough-Rouge Park,Fire Station, , , ,"{""coordinates"": [[-79.14806589221874, 43.77739193506365]], ""type"": ""MultiPoint""}"
62,7762642,12,Grosvenor St,12 Grosvenor St,former Toronto,14673186,4610448,13,314,1939,13,Toronto Centre,Fire Station, , , ,"{""coordinates"": [[-79.38466176846124, 43.663057420183144]], ""type"": ""MultiPoint""}"
63,30055401,2945,Keele St,2945 Keele St,North York,30110004,4635214,27,144,2022,6,York Centre,Fire Station, ,None,Fire Investigations,"{""coordinates"": [[-79.48331573937485, 43.735237637205344]], ""type"": ""MultiPoint""}"
64,6044964,947,Martin Grove Rd,947 Martin Grove Rd,Etobicoke,6044958,4653861,44,441,1964,1,Etobicoke North,Fire Station, , ,West Training Centre / Fire Training Tower,"{""coordinates"": [[-79.57191964891244, 43.69496046639946]], ""type"": ""MultiPoint""}"
65,19832,256,Cosburn Ave,256 Cosburn Ave,East York,14646506,4659390,24,322,1994,14,Toronto-Danforth,Fire Station, , ,None,"{""coordinates"": [[-79.34234371990777, 43.690986162239845]], ""type"": ""MultiPoint""}"
