city,feature,feature_value,shap_value
Toronto,hour,20.0,-0.2524872774175333
Toronto,hour,8.0,-0.12535010821130196
Toronto,hour,11.0,0.016531051329993683
Toronto,hour,11.0,0.020521563420493313
Toronto,hour,4.0,0.6156376335173888
Toronto,hour,6.0,-0.09161371972997584
Toronto,hour,8.0,-0.2080479496716588
Toronto,hour,10.0,-0.036324809071389574
Toronto,hour,10.0,-0.03324969435688705
Toronto,hour,18.0,-0.1530735319344322
Toronto,hour,19.0,-0.3171687314074314
Toronto,hour,5.0,0.3780418182115423
Toronto,hour,5.0,0.3185578089879133
Toronto,hour,14.0,0.03320831118378806
Toronto,hour,14.0,0.07682922178368544
Toronto,hour,17.0,0.007321671264368656
Toronto,hour,17.0,0.04922524233769614
Toronto,hour,19.0,-0.25209837063859625
Toronto,hour,21.0,-0.24722576669404872
Toronto,hour,3.0,0.4358249238702905
Toronto,hour,10.0,0.0986835672492555
Toronto,hour,13.0,0.05437562521911757
Toronto,hour,13.0,0.08157005713584635
Toronto,hour,15.0,0.0542566119823868
Toronto,hour,8.0,-0.12305828084812487
Toronto,hour,15.0,0.06399662464917504
Toronto,hour,0.0,0.4742565896050918
Toronto,hour,6.0,-0.03330215099274008
Toronto,hour,21.0,-0.2966575858302117
Toronto,hour,13.0,0.029633674007149537
Toronto,hour,10.0,0.037994457356832705
Toronto,hour,13.0,0.031688391424694706
Toronto,hour,14.0,0.05400697638972128
Toronto,hour,1.0,0.5032511841577291
Toronto,hour,16.0,0.020978355134903762
Toronto,hour,20.0,-0.25058377983078994
Toronto,hour,20.0,-0.28378972137170533
Toronto,hour,10.0,0.03015660506426206
Toronto,hour,16.0,0.030710340618760004
Toronto,hour,19.0,-0.31882144253541034
Toronto,hour,7.0,-0.21408793873426893
Toronto,hour,12.0,0.05697929822938241
Toronto,hour,19.0,-0.37088442233815994
Toronto,hour,20.0,-0.27964891973293643
Toronto,hour,5.0,0.4518078009880449
Toronto,hour,10.0,0.09776183117171998
Toronto,hour,9.0,0.04473675990861161
Toronto,hour,9.0,0.07209825762538527
Toronto,hour,19.0,-0.3607736887012435
Toronto,hour,11.0,0.04984834151974207
Toronto,hour,12.0,0.03109683101146311
Toronto,hour,23.0,-0.1993543481320133
Toronto,hour,6.0,-0.0372390236213257
Toronto,hour,11.0,0.040871548403038485
Toronto,hour,18.0,-0.16237879107988773
Toronto,hour,18.0,-0.09694753436489363
Toronto,hour,21.0,-0.35807912803977016
Toronto,hour,1.0,0.49055520444107564
Toronto,hour,10.0,-0.036324809071389574
Toronto,hour,9.0,0.017822654286410198
Toronto,hour,18.0,-0.1818282527403959
Toronto,hour,18.0,-0.13490298987689248
Toronto,hour,21.0,-0.3569801477159576
Toronto,hour,22.0,-0.31750383814585265
Toronto,hour,6.0,-0.13255135607367702
Toronto,hour,13.0,0.053711866154359494
Toronto,hour,11.0,0.06128164166554394
Toronto,hour,14.0,0.058276945853350096
Toronto,hour,16.0,0.060852254247561556
Toronto,hour,17.0,0.025526262701047214
Toronto,hour,19.0,-0.2528982114374477
Toronto,hour,2.0,0.5757660299618562
Toronto,hour,18.0,-0.15407984718120996
Toronto,hour,21.0,-0.36127828532114536
Toronto,hour,23.0,-0.19777334517367037
Toronto,hour,4.0,0.5913471233180946
Toronto,hour,9.0,-0.0014465280708943222
Toronto,hour,11.0,0.027335051933587973
Toronto,hour,22.0,-0.2932118386129759
Toronto,hour,22.0,-0.29098260475937154
Toronto,hour,11.0,-0.03960444186905006
Toronto,hour,12.0,-0.03091045869484108
Toronto,hour,17.0,0.023416823472713812
Toronto,hour,17.0,0.08881289560281376
Toronto,hour,2.0,0.5749399366976595
Toronto,hour,11.0,0.017915929071180694
Toronto,hour,8.0,-0.12206169885631622
Toronto,hour,13.0,0.06548239677699448
Toronto,hour,15.0,0.06399662464917504
Toronto,hour,20.0,-0.3091467214911565
Toronto,hour,22.0,-0.33613317145666066
Toronto,hour,8.0,-0.12491413310358214
Toronto,hour,18.0,-0.16213854032151004
Toronto,hour,19.0,-0.251139992941583
Toronto,hour,4.0,0.549477001129214
Toronto,hour,16.0,0.03371858588005665
Toronto,hour,17.0,0.05440373602495736
Toronto,hour,22.0,-0.30021333913231557
Toronto,hour,7.0,-0.2869496060702959
Toronto,hour,10.0,0.02659686068016509
Toronto,hour,19.0,-0.3521462809846784
Toronto,hour,9.0,0.01665417998757636
Toronto,hour,11.0,0.03285526240151303
Toronto,hour,14.0,0.032878468694705114
Toronto,hour,14.0,0.04271964252002641
Toronto,hour,18.0,-0.1818426034090306
Toronto,hour,11.0,0.06489077630323103
Toronto,hour,1.0,0.45172322635200585
Toronto,hour,13.0,0.05347226575530542
Toronto,hour,14.0,0.04746442992534188
Toronto,hour,18.0,-0.15796837060758542
Toronto,hour,22.0,-0.3338288973460551
Toronto,hour,23.0,0.16522234444099618
Toronto,hour,13.0,0.010562728709997431
Toronto,hour,23.0,-0.19120591896744565
Toronto,hour,10.0,-0.04333572872538452
Toronto,hour,12.0,0.0025370939096077167
Toronto,hour,15.0,0.04656514544404757
Toronto,hour,21.0,-0.3058451924871459
Toronto,hour,7.0,-0.3352365805500418
Toronto,hour,10.0,0.07601985847993295
Toronto,hour,14.0,0.032878468694705114
Toronto,hour,12.0,0.04559456972139415
Toronto,hour,16.0,0.058123296416268844
Toronto,hour,21.0,-0.3754638883520141
Toronto,hour,14.0,0.0527477041864023
Toronto,hour,17.0,0.04934028367409405
Toronto,hour,6.0,-0.08141838337582079
Toronto,hour,7.0,-0.2608236404415745
Toronto,hour,20.0,-0.2581999600235166
Toronto,hour,17.0,-0.003810616922875243
Toronto,hour,18.0,-0.21468200070380006
Toronto,hour,22.0,-0.299278712675484
Toronto,hour,0.0,0.5225625445971015
Toronto,hour,11.0,0.029670954972950157
Toronto,hour,17.0,-0.014366660941969703
Toronto,hour,21.0,-0.311751472109201
Toronto,hour,22.0,-0.3136673692609169
Toronto,hour,15.0,0.038587657840315745
Toronto,hour,7.0,-0.30396611329882445
Toronto,hour,10.0,0.028988130765428232
Toronto,hour,21.0,-0.2382919407025791
Toronto,hour,22.0,-0.36287903933483584
Toronto,hour,2.0,0.5573854293489209
Toronto,hour,11.0,0.028717684323003572
Toronto,hour,13.0,0.05347226575530542
Toronto,hour,15.0,0.06351577015893274
Toronto,hour,16.0,0.08391520956849875
Toronto,hour,20.0,-0.35266495692040395
Toronto,hour,4.0,0.5355563147980722
Toronto,hour,15.0,0.06671599638354792
Toronto,hour,8.0,-0.15657474866653623
Toronto,hour,8.0,-0.08689147373597937
Toronto,hour,11.0,0.04903037036515724
Toronto,hour,18.0,-0.21468200070380006
Toronto,hour,10.0,0.028988130765428232
Toronto,hour,11.0,0.08495127921360382
Toronto,hour,11.0,0.07028910791783435
Toronto,hour,14.0,0.032878468694705114
Toronto,hour,15.0,0.09738387735793873
Toronto,hour,19.0,-0.3139524593936688
Toronto,hour,20.0,-0.31120671887452284
Toronto,hour,5.0,0.4468322134392468
Toronto,hour,19.0,-0.3487418130512485
Toronto,hour,7.0,-0.28240559394217446
Toronto,hour,10.0,0.056397918680307774
Toronto,hour,10.0,0.08134674556757901
Toronto,hour,11.0,0.025222804306398106
Toronto,hour,17.0,0.016857380918224953
Toronto,hour,5.0,0.3995905986165641
Toronto,hour,8.0,-0.1682226519049838
Toronto,hour,22.0,-0.2886979657682886
Toronto,hour,11.0,0.043302375650751
Toronto,hour,12.0,0.002016550645567874
Toronto,hour,20.0,-0.27853578334873125
Toronto,hour,22.0,-0.34548529144993484
Toronto,hour,7.0,-0.3783925403338347
Toronto,hour,11.0,-0.0018902329859667299
Toronto,hour,22.0,-0.03784135034659175
Toronto,hour,11.0,0.04441066055229223
Toronto,hour,11.0,0.09916207305724423
Toronto,hour,14.0,0.06960209791609161
Toronto,hour,15.0,0.06145243083654298
Toronto,hour,16.0,0.051225566089174335
Toronto,hour,17.0,0.09656341066531966
Toronto,hour,18.0,-0.20002137238724216
Toronto,hour,19.0,-0.30404751175743644
Toronto,hour,2.0,0.5372466340517728
Toronto,hour,3.0,0.5198868503522625
Toronto,hour,14.0,0.08349062130928961
Toronto,hour,17.0,0.017482629489598972
Toronto,hour,18.0,-0.15779672028698657
Toronto,hour,7.0,-0.28843682691152156
Toronto,hour,8.0,-0.11974377979894998
Toronto,hour,9.0,0.05859465025748347
Toronto,hour,12.0,0.0520290983457695
Toronto,hour,13.0,0.12014214441559783
Toronto,hour,18.0,-0.15145670409952505
Toronto,hour,7.0,-0.23349688952820635
Toronto,hour,8.0,-0.15560374028781168
Toronto,hour,9.0,0.010950211618081494
Toronto,hour,16.0,0.06663566537745079
Toronto,hour,22.0,-0.27572271725351966
Toronto,hour,6.0,-0.173379708307337
Toronto,hour,7.0,-0.2760156245637674
Toronto,hour,10.0,0.0913823997129567
Toronto,hour,12.0,0.03195851065556315
Toronto,hour,13.0,0.07030981622406865
Toronto,hour,0.0,0.4866850462781477
Toronto,hour,13.0,0.024841680747136042
Toronto,hour,21.0,-0.22080147469026082
Toronto,hour,22.0,-0.2801715622995096
Toronto,hour,4.0,0.3711153505112524
Toronto,hour,6.0,-0.07710297422794334
Toronto,hour,11.0,0.04441066055229223
Toronto,hour,14.0,0.06960209791609161
Toronto,hour,15.0,0.07336118695506182
Toronto,hour,8.0,-0.13113656745885394
Toronto,hour,11.0,0.0326410791224332
Toronto,hour,11.0,0.09703835551257589
Toronto,hour,13.0,0.06568267940135052
Toronto,hour,17.0,0.028863269114041176
Toronto,hour,9.0,0.05808297855288566
Toronto,hour,22.0,-0.339477087712823
Toronto,hour,0.0,0.3482026265541208
Toronto,hour,18.0,-0.21917718150726706
Toronto,hour,18.0,-0.11587257953381071
Toronto,hour,20.0,-0.3539601617349372
Toronto,hour,0.0,0.45223988864143344
Toronto,hour,4.0,0.44492089273883156
Toronto,hour,7.0,-0.3208569655223913
Toronto,hour,8.0,-0.10250859754318599
Toronto,hour,5.0,0.3975871435320724
Toronto,hour,11.0,0.05001014741219904
Toronto,hour,14.0,0.049940016038342666
Toronto,hour,21.0,-0.2821498278658245
Toronto,hour,9.0,-0.05096435217850131
Toronto,hour,12.0,0.017260358848728567
Toronto,hour,12.0,0.016987025825487223
Toronto,hour,13.0,0.025018273821234695
Toronto,hour,21.0,-0.31120915054432047
Toronto,hour,18.0,-0.16164016126861555
Toronto,hour,18.0,-0.08956659341300834
Toronto,hour,22.0,-0.30605696041507213
Toronto,hour,23.0,-0.184878221050235
Toronto,hour,9.0,0.05346434671410002
Toronto,hour,11.0,0.10862151973114653
Toronto,hour,15.0,0.07075927476647473
Toronto,hour,16.0,0.07803023351920532
Toronto,hour,16.0,0.05285088270716264
Toronto,hour,12.0,0.0430659392459209
Toronto,hour,13.0,0.053826429362240365
Toronto,hour,15.0,0.06187051328585363
Toronto,hour,2.0,0.4793333442497106
Toronto,hour,12.0,0.011868932278144504
Toronto,hour,13.0,0.03444762713214567
Toronto,hour,14.0,0.08086151139056756
Toronto,hour,19.0,-0.3525365752530467
Toronto,hour,10.0,0.018442757367260514
Toronto,hour,0.0,0.4873540529696642
Toronto,hour,11.0,0.04441066055229223
Toronto,hour,18.0,-0.15014388829493774
Toronto,hour,16.0,0.05441748216127941
Toronto,hour,6.0,-0.1719303675370526
Toronto,hour,16.0,0.05287927896538779
